Instrument:  Raman-Educational
The Light Source Type:  0nm laser/Tungsten lamp
Detector: CCD1
ND filter: 50%
Laser Power(mW):  10 * ND = 5
Grating(g/mm):  1200
Slit Width:   50¦Ìm
Objective:  10X 0.3NA 
Acq. time(ms):  10000.000
Accumulation:  1
A_pixel(2023/7/8 15:48:01)	A_wavelength(2023/7/8 15:48:01)	A_wavenumber(2023/7/8 15:48:01)	A_intensityr(%s %s)2023/7/8 15:48:01
601	584	1670	21002
602	584	1673	20886
603	584	1675	20718
604	584	1677	20843
605	584	1680	20847
606	584	1682	20515
607	584	1684	20693
608	584	1687	21043
609	585	1689	20837
610	585	1691	21121
611	585	1694	20573
612	585	1696	20710
613	585	1699	20753
614	585	1701	20842
615	585	1703	21042
616	585	1706	20960
617	585	1708	20975
618	585	1710	20596
619	585	1713	20853
620	585	1715	20891
621	585	1717	21020
622	586	1720	20645
623	586	1722	20824
624	586	1724	20706
625	586	1727	21047
626	586	1729	21022
627	586	1731	21122
628	586	1734	20638
629	586	1736	20953
630	586	1738	20883
631	586	1741	21061
632	586	1743	21315
633	586	1745	21273
634	587	1748	21304
635	587	1750	21287
636	587	1752	21288
637	587	1755	21359
638	587	1757	21154
639	587	1759	21270
640	587	1762	21389
641	587	1764	21310
642	587	1766	21571
643	587	1769	21511
644	587	1771	21319
645	587	1773	21392
646	587	1776	21681
647	588	1778	21373
648	588	1780	21673
649	588	1783	21835
650	588	1785	21618
651	588	1787	21636
652	588	1790	21786
653	588	1792	21980
654	588	1794	22037
655	588	1797	22029
656	588	1799	21894
657	588	1801	21887
658	588	1804	21882
659	589	1806	22208
660	589	1808	21998
661	589	1810	22341
662	589	1813	22033
663	589	1815	21967
664	589	1817	21966
665	589	1820	22269
666	589	1822	22186
667	589	1824	22120
668	589	1827	22041
669	589	1829	22677
670	589	1831	22150
671	590	1834	22161
672	590	1836	22304
673	590	1838	22386
674	590	1841	22462
675	590	1843	22569
676	590	1845	22502
677	590	1847	22200
678	590	1850	22645
679	590	1852	22705
680	590	1854	22868
681	590	1857	22593
682	590	1859	22602
683	590	1861	22600
684	591	1864	22814
685	591	1866	22870
686	591	1868	22904
687	591	1871	23131
688	591	1873	22766
689	591	1875	22713
690	591	1877	22827
691	591	1880	22904
692	591	1882	23261
693	591	1884	23403
694	591	1887	22998
695	591	1889	23291
696	592	1891	23560
697	592	1893	23374
698	592	1896	23215
699	592	1898	23297
700	592	1900	23323
701	592	1903	23500
702	592	1905	23419
703	592	1907	23779
704	592	1910	23624
705	592	1912	23831
706	592	1914	23632
707	592	1916	23871
708	592	1919	23627
709	593	1921	23702
710	593	1923	23751
711	593	1926	24214
712	593	1928	24151
713	593	1930	23997
714	593	1932	23935
715	593	1935	24467
716	593	1937	24233
717	593	1939	24077
718	593	1942	24220
719	593	1944	23883
720	593	1946	24203
721	594	1948	24606
722	594	1951	24098
723	594	1953	24212
724	594	1955	24309
725	594	1957	24367
726	594	1960	24431
727	594	1962	24431
728	594	1964	24672
729	594	1967	24664
730	594	1969	24547
731	594	1971	24717
732	594	1973	24795
733	594	1976	24770
734	595	1978	24874
735	595	1980	24521
736	595	1982	24710
737	595	1985	24751
738	595	1987	24923
739	595	1989	25041
740	595	1992	24980
741	595	1994	24917
742	595	1996	25137
743	595	1998	25149
744	595	2001	25070
745	595	2003	25192
746	596	2005	25068
747	596	2007	25138
748	596	2010	25116
749	596	2012	25385
750	596	2014	25088
751	596	2016	25416
752	596	2019	25371
753	596	2021	25498
754	596	2023	25352
755	596	2025	25610
756	596	2028	25436
757	596	2030	25509
758	596	2032	25495
759	597	2034	25478
760	597	2037	25673
761	597	2039	25508
762	597	2041	25980
763	597	2044	26057
764	597	2046	25663
765	597	2048	26078
766	597	2050	25832
767	597	2053	27046
768	597	2055	26282
769	597	2057	26071
770	597	2059	26479
771	598	2062	26422
772	598	2064	26329
773	598	2066	26195
774	598	2068	26341
775	598	2071	26325
776	598	2073	26419
777	598	2075	26446
778	598	2077	26513
779	598	2079	26490
780	598	2082	26606
781	598	2084	26641
782	598	2086	26711
783	598	2088	26564
784	599	2091	26441
785	599	2093	26783
786	599	2095	26760
787	599	2097	26617
788	599	2100	27074
789	599	2102	27114
790	599	2104	26947
791	599	2106	26928
792	599	2109	27214
793	599	2111	26911
794	599	2113	27077
795	599	2115	27363
796	600	2118	27280
797	600	2120	27107
798	600	2122	27275
799	600	2124	27408
800	600	2126	27347
801	600	2129	27674
802	600	2131	27679
803	600	2133	27639
804	600	2135	27602
805	600	2138	27793
806	600	2140	28071
807	600	2142	27851
808	601	2144	27807
809	601	2146	27747
810	601	2149	27958
811	601	2151	27861
812	601	2153	27701
813	601	2155	28173
814	601	2158	27995
815	601	2160	27915
816	601	2162	28010
817	601	2164	27826
818	601	2166	27956
819	601	2169	28413
820	601	2171	28383
821	602	2173	28291
822	602	2175	28315
823	602	2178	28534
824	602	2180	28404
825	602	2182	28411
826	602	2184	28571
827	602	2186	28489
828	602	2189	28451
829	602	2191	28542
830	602	2193	28509
831	602	2195	28943
832	602	2197	28734
833	603	2200	28609
834	603	2202	28589
835	603	2204	28740
836	603	2206	28905
837	603	2209	28745
838	603	2211	28700
839	603	2213	28982
840	603	2215	29048
841	603	2217	29516
842	603	2220	28870
843	603	2222	29152
844	603	2224	29057
845	603	2226	29146
846	604	2228	29140
847	604	2231	29403
848	604	2233	29390
849	604	2235	29178
850	604	2237	29771
851	604	2239	29446
852	604	2242	29615
853	604	2244	29823
854	604	2246	29659
855	604	2248	29891
856	604	2250	29949
857	604	2253	30057
858	605	2255	30067
859	605	2257	29967
860	605	2259	30159
861	605	2261	30200
862	605	2264	30098
863	605	2266	30499
864	605	2268	30059
865	605	2270	30367
866	605	2272	30358
867	605	2274	30299
868	605	2277	30511
869	605	2279	30489
870	605	2281	30843
871	606	2283	30625
872	606	2285	30799
873	606	2288	30827
874	606	2290	31046
875	606	2292	30839
876	606	2294	30634
877	606	2296	30855
878	606	2299	31345
879	606	2301	30917
880	606	2303	31351
881	606	2305	30897
882	606	2307	31149
883	607	2309	31192
884	607	2312	31122
885	607	2314	30875
886	607	2316	31384
887	607	2318	31774
888	607	2320	31350
889	607	2322	31475
890	607	2325	31579
891	607	2327	31416
892	607	2329	32011
893	607	2331	31613
894	607	2333	31949
895	607	2336	31731
896	608	2338	31636
897	608	2340	31787
898	608	2342	31966
899	608	2344	31810
900	608	2346	31797
901	608	2349	32100
902	608	2351	32187
903	608	2353	32219
904	608	2355	31979
905	608	2357	32092
906	608	2359	32164
907	608	2362	32273
908	609	2364	32267
909	609	2366	32491
910	609	2368	32354
911	609	2370	32432
912	609	2372	32474
913	609	2375	32481
914	609	2377	32851
915	609	2379	32633
916	609	2381	32494
917	609	2383	32547
918	609	2385	32918
919	609	2388	33285
920	609	2390	32818
921	610	2392	32773
922	610	2394	33105
923	610	2396	32693
924	610	2398	33142
925	610	2400	33077
926	610	2403	33396
927	610	2405	33332
928	610	2407	33380
929	610	2409	32973
930	610	2411	33096
931	610	2413	33484
932	610	2416	33428
933	611	2418	33592
934	611	2420	33578
935	611	2422	33660
936	611	2424	33604
937	611	2426	33948
938	611	2428	34168
939	611	2431	33755
940	611	2433	33832
941	611	2435	34184
942	611	2437	34082
943	611	2439	34144
944	611	2441	33987
945	611	2443	34144
946	612	2446	34176
947	612	2448	34335
948	612	2450	34302
949	612	2452	34553
950	612	2454	34218
951	612	2456	34426
952	612	2458	34399
953	612	2461	34591
954	612	2463	34414
955	612	2465	34503
956	612	2467	34453
957	612	2469	34807
958	613	2471	34887
959	613	2473	35001
960	613	2476	34695
961	613	2478	35004
962	613	2480	35019
963	613	2482	35131
964	613	2484	35058
965	613	2486	35031
966	613	2488	35120
967	613	2490	35293
968	613	2493	35203
969	613	2495	35231
970	613	2497	35133
971	614	2499	35418
972	614	2501	35562
973	614	2503	35643
974	614	2505	35533
975	614	2507	35654
976	614	2510	35683
977	614	2512	35699
978	614	2514	35733
979	614	2516	35710
980	614	2518	35887
981	614	2520	35839
982	614	2522	36295
983	615	2524	35944
984	615	2527	35973
985	615	2529	36123
986	615	2531	36037
987	615	2533	36139
988	615	2535	36184
989	615	2537	36264
990	615	2539	36359
991	615	2541	36272
992	615	2543	36499
993	615	2546	36370
994	615	2548	36510
995	615	2550	36633
996	616	2552	36600
997	616	2554	36507
998	616	2556	36539
999	616	2558	36613
1000	616	2560	36860
1001	616	2563	36790
1002	616	2565	36751
1003	616	2567	36905
1004	616	2569	36914
1005	616	2571	37172
1006	616	2573	36897
1007	616	2575	36991
1008	617	2577	36858
1009	617	2579	36757
1010	617	2581	37208
1011	617	2584	37082
1012	617	2586	37059
1013	617	2588	37271
1014	617	2590	37368
1015	617	2592	37278
1016	617	2594	37385
1017	617	2596	37321
1018	617	2598	37425
1019	617	2600	37266
1020	617	2603	37421
1021	618	2605	37518
1022	618	2607	37584
1023	618	2609	38058
1024	618	2611	37713
1025	618	2613	37686
1026	618	2615	38067
1027	618	2617	38088
1028	618	2619	38115
1029	618	2621	38122
1030	618	2623	38341
1031	618	2626	37999
1032	618	2628	38264
1033	619	2630	38695
1034	619	2632	37321
1035	619	2634	4356
1036	619	2636	2249
1037	619	2638	2254
1038	619	2640	2281
1039	619	2642	2842
1040	619	2644	380
1041	619	2646	324
1042	619	2649	355
1043	619	2651	380
1044	619	2653	301
